	Merozoite_1	Merozoite_2	Merozoite_3	IntraEri_1	IntraEri_2	IntraEri_3
g1015	337.91376367272534	489.5442260524675	605.5682425165488	253.96128298147568	308.62961503012093	288.60776485010706
g1016	232.56417852769923	331.730626864501	221.4997934037041	164.67801943330065	160.88139506889283	157.82633459339857
g1017	536.686565833152	657.0198823335747	590.3274310438169	476.1774055902669	633.6756989448227	531.4323702159602
g1018	3247.947587301372	4352.756720459933	3575.4943715029117	3370.939217074431	3478.6497566426924	3617.6423108085373
g1019	3162.4752823723884	3309.2545544007257	3909.776169804832	2474.138436546095	2199.8068305338406	2287.226195331504
g102	159.01824172834134	161.03428488568008	152.9161417764104	162.69394691000787	134.61504485356338	146.04248341812647
g1020	226.60099446288643	315.627198375933	235.7245507782539	148.8054392469584	147.7482199612281	182.9394600488965
g1021	318.0364834566827	326.8995983179306	395.2450441928481	448.400390264168	398.92019389531583	424.9913538622728
g1022	3899.9223783875714	4074.1674076077065	3668.9713485356674	5043.512354210244	5253.270043065888	5120.759458264149
g1023	316.0487554350784	228.66868453766574	354.0948532164719	232.13648522525511	308.62961503012093	259.63108163222483
g1024	27092.732934466156	27131.056317539384	36667.86832224576	30354.325533856223	29925.58112970252	30464.539312176425
g1025	304.12238730545283	304.3547984339354	242.32890241643773	202.37539737586343	210.1308017226355	169.80336365678988
g1026	6452.16515812745	6726.402079674857	5610.650730161716	8848.963453885794	8605.512989297307	8636.790199921978
g1027	2760.9542220083267	2608.7554151480176	5423.188749047113	2801.5104028894034	2879.44864235549	2980.9279915676047
